config file,sigma_s (cm^-2),zeta (1/s),D_SF (cm^2/s),E (V/cm),h (cm/s),m,time (s),temp (C),bias (V),recovery time (s),recovery E (V/cm),recovery  bias (V),thickness sin (um),thickness si (um),er,cb (cm^-3),t_steps,x_points sin,x_points si,converged
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,0.0001,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,1E+11,0.0001,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+12pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,1E+12,0.0001,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+13pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,1E+13,0.0001,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+14pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,1E+14,0.0001,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,0
constant_source_flux_96_85C_1E+10pcm2_z1E-08ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,1.00E-08,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-07ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,1.00E-07,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-06ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,1.00E-06,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-05ps_DSF1E-14_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,1.00E-05,1.00E-14,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-15_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,0.0001,1.00E-15,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-16_1E+04Vcm_h1E-12_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,0.0001,1.00E-16,10000,1.00E-12,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+01Vcm_h1E-12_m1E+00_rt12h_rv-1E+01Vcm.ini,10000000000,0.0001,1.00E-14,10,1.00E-12,1,345600,85,7.50E-05,43200,-10,-7.50E-05,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+02Vcm_h1E-12_m1E+00_rt12h_rv-1E+02Vcm.ini,10000000000,0.0001,1.00E-14,100,1.00E-12,1,345600,85,0.00075,43200,-100,-0.00075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+03Vcm_h1E-12_m1E+00_rt12h_rv-1E+03Vcm.ini,10000000000,0.0001,1.00E-14,1000,1.00E-12,1,345600,85,0.0075,43200,-1000,-0.0075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+05Vcm_h1E-12_m1E+00_rt12h_rv-1E+05Vcm.ini,10000000000,0.0001,1.00E-14,100000,1.00E-12,1,345600,85,0.75,43200,-100000,-0.75,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+06Vcm_h1E-12_m1E+00_rt12h_rv-1E+06Vcm.ini,10000000000,0.0001,1.00E-14,1000000,1.00E-12,1,345600,85,7.5,43200,-1000000,-7.5,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-10_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,0.0001,1.00E-14,10000,1.00E-10,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_1E+04Vcm_h1E-08_m1E+00_rt12h_rv-1E+04Vcm.ini,10000000000,0.0001,1.00E-14,10000,1.00E-08,1,345600,85,0.075,43200,-10000,-0.075,0.075,1,7,1.00E-20,720,100,100,1
